crop_id,crop_name,category,unit,standard_price_per_unit,season_months,shelf_life_days,is_active
CRP-001,ข้าวนาปรัง,ธัญพืช,กิโลกรัม,11.2,"1,2,3,4,5",7,Y
CRP-002,ข้าวนาปี,ธัญพืช,กิโลกรัม,11.71,"10,11,12,1",14,Y
CRP-003,ข้าวหอมมะลิ,ธัญพืช,กิโลกรัม,15.79,"10,11,12,1",365,Y
CRP-004,ข้าวโพดเลี้ยงสัตว์,ธัญพืช,กิโลกรัม,7.41,"3,4,5,6,7,8",365,Y
CRP-005,มันสำปะหลัง,พืชหัว,กิโลกรัม,3.84,"2,3,4,5,6",7,Y
CRP-006,ยางพารา,พืชยืนต้น,กิโลกรัม,67.71,"1,2,3,4,5,6,7,8,9,10,11,12",7,Y
CRP-007,ปาล์มน้ำมัน,พืชยืนต้น,กิโลกรัม,4.09,"1,2,3,4,5,6,7,8,9,10,11,12",14,Y
CRP-008,ลิ้นจี่,ผลไม้,กิโลกรัม,49.31,"4,5,6",180,Y
CRP-009,ลำไย,ผลไม้,กิโลกรัม,20.66,"7,8,9",14,Y
CRP-010,ทุเรียน,ผลไม้,กิโลกรัม,165.92,"4,5,6,7",365,Y
CRP-011,มังคุด,ผลไม้,กิโลกรัม,67.25,"5,6,7,8",14,Y
CRP-012,อ้อย,พืชอุตสาหกรรม,กิโลกรัม,1.22,"11,12,1,2,3",30,Y
CRP-013,สับปะรด,ผลไม้,กิโลกรัม,10.67,"3,4,5,6,7",7,Y
CRP-014,กาแฟ,พืชไร่,กิโลกรัม,105.53,"11,12,1,2",14,Y
CRP-015,ข้าวฟ่าง,ธัญพืช,กิโลกรัม,8.09,"7,8,9,10",30,Y
