customer_id,customer_name,customer_type,province,region,contact_person,phone,email,credit_limit_thb,is_active
CUS-0001,บริษัท ใต้ดีผลไม้ จำกัด,ห้างค้าปลีก,หนองคาย,ภาคตะวันออกเฉียงเหนือ,ยุทธนา โชคดี,0972175697,contact1@agri-buyer.co.th,500000,Y
CUS-0002,บริษัท เกษตรก้าวหน้า จำกัด,สหกรณ์ผู้บริโภค,นราธิวาส,ภาคใต้,สมชาย มงคล,0842124871,contact2@agri-buyer.co.th,1000000,Y
CUS-0003,บริษัท ทองคำเขียว จำกัด,โรงงานแปรรูป,กระบี่,ภาคใต้,ทองสุข ชูชื่น,0864663905,contact3@agri-buyer.co.th,200000,N
CUS-0004,บริษัท เจริญผล จำกัด,สหกรณ์ผู้บริโภค,พะเยา,ภาคเหนือ,ปราณี มงคล,0901639755,contact4@agri-buyer.co.th,500000,Y
CUS-0005,บริษัท เจ้าพระยาผล จำกัด,ห้างค้าปลีก,สุโขทัย,ภาคเหนือ,สุรศักดิ์ ดีงาม,0823627650,contact5@agri-buyer.co.th,500000,Y
CUS-0006,บริษัท อาหารไทย จำกัด,ห้างค้าปลีก,นครสวรรค์,ภาคเหนือ,สมพงษ์ สุขใจ,0910686287,contact6@agri-buyer.co.th,50000,Y
CUS-0007,บริษัท วิบูลย์พืชผล จำกัด,ผู้ส่งออก,เชียงราย,ภาคเหนือ,สมบัติ มงคล,0881764891,contact7@agri-buyer.co.th,1000000,Y
CUS-0008,บริษัท ใต้ดีผลไม้ จำกัด,ตลาดค้าส่ง,สงขลา,ภาคใต้,สุดา รุ่งโรจน์,0859839124,contact8@agri-buyer.co.th,500000,Y
CUS-0009,บริษัท เจ้าพระยาผล จำกัด,ตลาดค้าส่ง,นครศรีธรรมราช,ภาคใต้,ลัดดา ศรีสุข,0976874875,contact9@agri-buyer.co.th,100000,Y
CUS-0010,บริษัท ศรีไทยค้าส่ง จำกัด,ตลาดค้าส่ง,ปทุมธานี,ภาคกลาง,เกษม มั่งมี,0988467474,contact10@agri-buyer.co.th,50000,Y
