warehouse_id,warehouse_name,province,region,address,capacity_ton,current_utilization_pct,manager_name,contact_phone,is_active
WH-001,คลังสินค้าเชียงใหม่,เชียงใหม่,ภาคเหนือ,เลขที่ 160 ถ.เกษตรกลาง เชียงใหม่,1500,49.69,รัตนา ศรีสุข,0824896273,Y
WH-002,คลังสินค้าลำปาง,ลำปาง,ภาคเหนือ,เลขที่ 100 ถ.เกษตรกลาง ลำปาง,2000,56.15,อาทิตย์ ดำรง,0871006778,Y
WH-003,คลังสินค้าพิษณุโลก,พิษณุโลก,ภาคเหนือ,เลขที่ 748 ถ.เกษตรกลาง พิษณุโลก,500,60.67,ลัดดา พันธ์ดี,0901612049,Y
WH-004,คลังสินค้าขอนแก่น,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,เลขที่ 566 ถ.เกษตรกลาง ขอนแก่น,500,53.19,ธนกร ดำรง,0897075663,Y
WH-005,คลังสินค้านครราชสีมา,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,เลขที่ 197 ถ.เกษตรกลาง นครราชสีมา,3000,71.71,วิชัย โชคดี,0861175976,Y
WH-006,คลังสินค้าอุบลราชธานี,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,เลขที่ 82 ถ.เกษตรกลาง อุบลราชธานี,1500,78.49,สมพงษ์ สุขใจ,0874617971,Y
WH-007,คลังสินค้าอุดรธานี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,เลขที่ 651 ถ.เกษตรกลาง อุดรธานี,2000,77.53,วิทยา มั่งมี,0895367253,Y
WH-008,คลังสินค้ากรุงเทพมหานคร,กรุงเทพมหานคร,ภาคกลาง,เลขที่ 687 ถ.เกษตรกลาง กรุงเทพมหานคร,1000,52.01,นิตยา มงคล,0819166965,Y
WH-009,คลังสินค้าสุพรรณบุรี,สุพรรณบุรี,ภาคกลาง,เลขที่ 651 ถ.เกษตรกลาง สุพรรณบุรี,3000,47.7,จันทร์ รักษ์ดี,0924087031,Y
WH-010,คลังสินค้าอยุธยา,อยุธยา,ภาคกลาง,เลขที่ 277 ถ.เกษตรกลาง อยุธยา,2000,84.53,ธนกร ฤทธิ์ไกร,0949505059,Y
WH-011,คลังสินค้าชลบุรี,ชลบุรี,ภาคตะวันออก,เลขที่ 702 ถ.เกษตรกลาง ชลบุรี,1000,54.59,สุดา แสงงาม,0808616842,Y
WH-012,คลังสินค้าระยอง,ระยอง,ภาคตะวันออก,เลขที่ 411 ถ.เกษตรกลาง ระยอง,1500,52.05,ศิริ พันธ์ดี,0952251235,Y
WH-013,คลังสินค้าจันทบุรี,จันทบุรี,ภาคตะวันออก,เลขที่ 323 ถ.เกษตรกลาง จันทบุรี,5000,49.57,ทองสุข สุขใจ,0972564235,Y
WH-014,คลังสินค้าสุราษฎร์ธานี,สุราษฎร์ธานี,ภาคใต้,เลขที่ 147 ถ.เกษตรกลาง สุราษฎร์ธานี,2000,51.92,จันทร์ พลัง,0950691111,Y
WH-015,คลังสินค้าสงขลา,สงขลา,ภาคใต้,เลขที่ 270 ถ.เกษตรกลาง สงขลา,3000,73.62,สายฝน ดาวเรือง,0956640927,Y
