harvest_id,farmer_id,crop_id,warehouse_id,harvest_date,quantity_kg,price_per_kg,total_amount_thb,quality_grade,inspector_note
HRV-000001,FRM-0028,CRP-004,WH-006,2025-04-28,16732.67,8.15,136371.26,C,ผ่านการตรวจสอบ
HRV-000002,FRM-0157,CRP-008,WH-004,2024-04-11,1830.27,61.52,112598.21,B,คุณภาพปานกลาง
HRV-000003,FRM-0133,CRP-009,WH-011,2024-09-24,7939.96,37.38,296795.7,A,คุณภาพดี
HRV-000004,FRM-0299,CRP-015,WH-013,2025-07-09,3821.23,6.85,26175.43,C,คุณภาพปานกลาง
HRV-000005,FRM-0139,CRP-001,WH-014,2024-01-03,8078.58,9.36,75615.51,C,ผ่านการตรวจสอบ
HRV-000006,FRM-0056,CRP-001,WH-012,2023-04-08,19605.96,10.54,206646.82,A,ผ่านการตรวจสอบ
HRV-000007,FRM-0249,CRP-014,WH-009,2025-11-06,1154.6,118.01,136254.35,C,ผ่านการตรวจสอบ
HRV-000008,FRM-0021,CRP-004,WH-001,2025-05-11,10053.69,9.98,100335.83,A,ต้องตรวจซ้ำ
HRV-000009,FRM-0181,CRP-006,WH-005,2023-04-17,1451.8,51.86,75290.35,B,ผ่านการตรวจสอบ
HRV-000010,FRM-0285,CRP-005,WH-002,2022-03-11,27018.08,3.49,94293.1,C,คุณภาพดี
HRV-000011,FRM-0267,CRP-011,WH-005,2025-06-14,2074.81,47.64,98843.95,B,ผ่านการตรวจสอบ
HRV-000012,FRM-0230,CRP-009,WH-013,2022-07-21,1280.9,33.53,42948.58,A,ผ่านการตรวจสอบ
HRV-000013,FRM-0159,CRP-012,WH-003,2025-12-14,49792.92,1.49,74191.45,C,คุณภาพปานกลาง
HRV-000014,FRM-0081,CRP-006,WH-006,2021-09-18,4748.15,53.55,254263.43,A,ต้องตรวจซ้ำ
HRV-000015,FRM-0016,CRP-013,WH-014,2023-06-14,2566.12,10.22,26225.75,C,ต้องตรวจซ้ำ
HRV-000016,FRM-0141,CRP-003,WH-010,2022-10-05,4102.56,20.1,82461.46,B,ผ่านการตรวจสอบ
HRV-000017,FRM-0291,CRP-010,WH-012,2022-05-08,5561.55,123.11,684682.42,B,ผ่านการตรวจสอบ
HRV-000018,FRM-0258,CRP-014,WH-007,2025-02-23,3317.93,71.04,235705.75,B,คุณภาพดี
HRV-000019,FRM-0071,CRP-003,WH-015,2022-11-02,8467.49,21.75,184167.91,A,คุณภาพดี
HRV-000020,FRM-0114,CRP-012,WH-008,2022-12-03,10499.75,1.48,15539.63,B,คุณภาพดี
HRV-000021,FRM-0167,CRP-014,WH-012,2024-12-14,2143.36,62.51,133981.43,B,ต้องตรวจซ้ำ
HRV-000022,FRM-0161,CRP-007,WH-015,2025-12-19,3009.65,5.58,16793.85,C,ผ่านการตรวจสอบ
HRV-000023,FRM-0267,CRP-002,WH-004,2024-01-27,17616.46,12.39,218267.94,B,คุณภาพปานกลาง
