inventory_id,warehouse_id,crop_id,snapshot_date,beginning_stock_kg,received_kg,sold_kg,ending_stock_kg,unit_cost_thb,stock_status
INV-000001,WH-001,CRP-011,2021-01-04,32029.51,6154.3,2565.91,35617.9,49.38,สูง
INV-000002,WH-001,CRP-011,2021-01-07,35617.9,3382.96,2643.55,36357.31,70.38,สูง
INV-000003,WH-001,CRP-011,2021-01-10,36357.31,5460.84,7707.27,34110.88,45.47,สูง
INV-000004,WH-001,CRP-011,2021-01-16,34110.88,1197.38,2978.49,32329.77,65.07,สูง
INV-000005,WH-001,CRP-011,2021-01-19,32329.77,9383.49,212.69,41500.57,42.36,สูง
INV-000006,WH-001,CRP-011,2021-01-22,41500.57,2695.34,1561.22,42634.69,72.97,สูง
INV-000007,WH-001,CRP-011,2021-01-25,42634.69,475.84,4301.83,38808.7,74.57,สูง
INV-000008,WH-001,CRP-011,2021-01-28,38808.7,961.03,6363.03,33406.7,61.7,สูง
INV-000009,WH-001,CRP-011,2021-01-31,33406.7,1798.92,4138.73,31066.89,36.8,สูง
INV-000010,WH-001,CRP-011,2021-02-03,31066.89,1822.08,1904.62,30984.35,64.12,สูง
INV-000011,WH-001,CRP-011,2021-02-06,30984.35,1031.1,1961.33,30054.12,65.01,สูง
INV-000012,WH-001,CRP-011,2021-02-09,30054.12,7109.5,5007.0,32156.62,65.71,สูง
INV-000013,WH-001,CRP-011,2021-02-15,32156.62,2560.12,4756.89,29959.85,53.11,สูง
INV-000014,WH-001,CRP-011,2021-02-18,29959.85,12.42,6736.41,23235.86,76.64,สูง
INV-000015,WH-001,CRP-011,2021-02-21,23235.86,593.84,3348.72,20480.98,68.67,สูง
INV-000016,WH-001,CRP-011,2021-03-02,20480.98,7980.58,5382.05,23079.51,46.52,สูง
INV-000017,WH-001,CRP-011,2021-03-08,23079.51,5823.18,323.8,28578.89,49.7,สูง
INV-000018,WH-001,CRP-011,2021-03-11,28578.89,5114.01,695.17,32997.73,36.37,สูง
INV-000019,WH-001,CRP-011,2021-03-14,32997.73,9515.49,5608.25,36904.97,70.26,สูง
INV-000020,WH-001,CRP-011,2021-03-20,36904.97,6377.59,383.42,42899.14,44.58,สูง
INV-000021,WH-001,CRP-011,2021-03-23,42899.14,9848.96,7030.74,45717.36,44.66,สูง
INV-000022,WH-001,CRP-011,2021-03-26,45717.36,2049.59,1506.87,46260.08,63.96,สูง
INV-000023,WH-001,CRP-011,2021-04-01,46260.08,4660.26,2539.82,48380.52,47.54,สูง
INV-000024,WH-001,CRP-011,2021-04-10,48380.52,1233.68,2599.57,47014.63,53.3,สูง
INV-000025,WH-001,CRP-011,2021-04-19,47014.63,4898.61,2039.04,49874.2,68.59,สูง
INV-000026,WH-001,CRP-011,2021-04-28,49874.2,7279.8,3250.89,53903.11,37.65,สูง
INV-000027,WH-001,CRP-011,2021-05-01,53903.11,851.66,7702.74,47052.03,79.72,สูง
INV-000028,WH-001,CRP-011,2021-05-10,47052.03,6936.04,7681.29,46306.78,57.32,สูง
INV-000029,WH-001,CRP-011,2021-05-13,46306.78,2653.22,6880.26,42079.74,63.04,สูง
INV-000030,WH-001,CRP-011,2021-05-22,42079.74,5244.65,4642.08,42682.31,45.96,สูง
INV-000031,WH-001,CRP-011,2021-05-28,42682.31,6729.02,3849.52,45561.81,54.04,สูง
INV-000032,WH-001,CRP-011,2021-05-31,45561.81,9479.26,7202.29,47838.78,59.21,สูง
INV-000033,WH-001,CRP-011,2021-06-03,47838.78,7340.68,6028.11,49151.35,43.5,สูง
INV-000034,WH-001,CRP-011,2021-06-12,49151.35,2858.14,7916.05,44093.44,72.17,สูง
INV-000035,WH-001,CRP-011,2021-06-21,44093.44,8498.83,6059.12,46533.15,53.2,สูง
INV-000036,WH-001,CRP-011,2021-07-03,46533.15,444.46,7661.56,39316.05,68.01,สูง
INV-000037,WH-001,CRP-011,2021-07-09,39316.05,4807.64,2393.87,41729.82,42.14,สูง
INV-000038,WH-001,CRP-011,2021-07-18,41729.82,21.06,6041.82,35709.06,35.02,สูง
INV-000039,WH-001,CRP-011,2021-07-21,35709.06,4737.7,932.65,39514.11,73.72,สูง
INV-000040,WH-001,CRP-011,2021-07-27,39514.11,4213.61,1084.14,42643.58,75.74,สูง
INV-000041,WH-001,CRP-011,2021-08-02,42643.58,6835.56,3604.2,45874.94,56.41,สูง
INV-000042,WH-001,CRP-011,2021-08-08,45874.94,6279.72,3796.39,48358.27,55.16,สูง
INV-000043,WH-001,CRP-011,2021-08-20,48358.27,7196.05,6753.49,48800.83,76.55,สูง
INV-000044,WH-001,CRP-011,2021-08-26,48800.83,2414.67,3590.46,47625.04,47.82,สูง
INV-000045,WH-001,CRP-011,2021-08-29,47625.04,432.19,5041.17,43016.06,58.9,สูง
INV-000046,WH-001,CRP-011,2021-09-07,43016.06,8780.44,5248.36,46548.14,73.39,สูง
INV-000047,WH-001,CRP-011,2021-09-13,46548.14,6210.75,6639.85,46119.04,54.08,สูง
INV-000048,WH-001,CRP-011,2021-09-19,46119.04,3833.0,7319.41,42632.63,70.92,สูง
INV-000049,WH-001,CRP-011,2021-09-22,42632.63,754.51,202.37,43184.77,75.35,สูง
INV-000050,WH-001,CRP-011,2021-09-25,43184.77,8224.71,4548.2,46861.28,61.4,สูง
INV-000051,WH-001,CRP-011,2021-09-28,46861.28,5183.09,5626.3,46418.07,62.08,สูง
INV-000052,WH-001,CRP-011,2021-10-01,46418.07,3502.0,2809.61,47110.46,73.3,สูง
INV-000053,WH-001,CRP-011,2021-10-07,47110.46,7808.68,1608.44,53310.7,53.91,สูง
INV-000054,WH-001,CRP-011,2021-10-10,53310.7,7531.42,1607.68,59234.44,68.31,สูง
INV-000055,WH-001,CRP-011,2021-10-13,59234.44,7230.0,4227.56,62236.88,67.58,สูง
INV-000056,WH-001,CRP-011,2021-10-19,62236.88,3288.2,6506.97,59018.11,75.55,สูง
INV-000057,WH-001,CRP-011,2021-10-22,59018.11,7472.62,2352.15,64138.58,63.58,สูง
INV-000058,WH-001,CRP-011,2021-11-06,64138.58,9257.57,3258.41,70137.74,36.21,สูง
INV-000059,WH-001,CRP-011,2021-11-09,70137.74,5330.0,2494.16,72973.58,64.09,สูง
INV-000060,WH-001,CRP-011,2021-11-12,72973.58,8922.76,635.08,81261.26,50.95,สูง
INV-000061,WH-001,CRP-011,2021-11-21,81261.26,42.26,3864.17,77439.35,49.75,สูง
INV-000062,WH-001,CRP-011,2021-11-27,77439.35,5195.61,4934.14,77700.82,53.91,สูง
INV-000063,WH-001,CRP-011,2021-11-30,77700.82,1173.45,3946.7,74927.57,45.13,สูง
INV-000064,WH-001,CRP-011,2021-12-03,74927.57,3887.99,4736.12,74079.44,35.55,สูง
INV-000065,WH-001,CRP-011,2021-12-15,74079.44,464.24,4622.77,69920.91,56.5,สูง
INV-000066,WH-001,CRP-011,2021-12-18,69920.91,5428.64,464.49,74885.06,45.96,สูง
INV-000067,WH-001,CRP-011,2021-12-24,74885.06,9428.0,1985.86,82327.2,32.68,สูง
INV-000068,WH-001,CRP-011,2021-12-27,82327.2,8521.87,5063.49,85785.58,39.81,สูง
INV-000069,WH-001,CRP-011,2022-01-02,85785.58,5250.46,5698.72,85337.32,78.44,สูง
INV-000070,WH-001,CRP-011,2022-01-05,85337.32,2228.28,3001.31,84564.29,36.07,สูง
INV-000071,WH-001,CRP-011,2022-01-11,84564.29,1582.72,3280.27,82866.74,56.37,สูง
INV-000072,WH-001,CRP-011,2022-01-17,82866.74,318.06,4611.66,78573.14,65.6,สูง
INV-000073,WH-001,CRP-011,2022-01-20,78573.14,7821.36,4051.08,82343.42,52.6,สูง
INV-000074,WH-001,CRP-011,2022-01-23,82343.42,8885.33,7639.23,83589.52,76.8,สูง
INV-000075,WH-001,CRP-011,2022-01-26,83589.52,2431.1,1423.35,84597.27,71.33,สูง
INV-000076,WH-001,CRP-011,2022-02-01,84597.27,6426.56,5425.43,85598.4,67.73,สูง
INV-000077,WH-001,CRP-011,2022-02-04,85598.4,2247.77,6430.2,81415.97,53.78,สูง
INV-000078,WH-001,CRP-011,2022-02-07,81415.97,7742.42,7308.78,81849.61,38.38,สูง
INV-000079,WH-001,CRP-011,2022-02-10,81849.61,8045.77,1644.66,88250.72,68.87,สูง
INV-000080,WH-001,CRP-011,2022-02-22,88250.72,1511.12,3851.47,85910.37,61.54,สูง
INV-000081,WH-001,CRP-011,2022-02-25,85910.37,7472.75,4238.2,89144.92,49.56,สูง
INV-000082,WH-001,CRP-011,2022-02-28,89144.92,4971.27,6218.39,87897.8,71.96,สูง
INV-000083,WH-001,CRP-011,2022-03-03,87897.8,5073.58,1508.1,91463.28,51.28,สูง
INV-000084,WH-001,CRP-011,2022-03-06,91463.28,6969.53,1339.61,97093.2,44.0,สูง
