sales_id,order_id,customer_id,crop_id,warehouse_id,sale_date,quantity_kg,unit_price_thb,total_amount_thb,discount_pct,payment_status,sale_channel
SAL-000001,ORD-000001,CUS-0005,CRP-010,WH-002,2025-09-26,1506.35,154.74,233092.6,0,ชำระแล้ว,ตรงจากคลัง
SAL-000002,ORD-000002,CUS-0126,CRP-003,WH-008,2025-03-11,565.44,25.83,14605.32,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000003,ORD-000002,CUS-0126,CRP-014,WH-010,2025-03-11,6530.93,148.74,971410.53,0,ชำระแล้ว,ตลาดกลาง
SAL-000004,ORD-000003,CUS-0114,CRP-013,WH-008,2022-01-17,2867.28,15.15,43439.29,0,ค้างชำระ,ตลาดกลาง
SAL-000005,ORD-000003,CUS-0114,CRP-005,WH-006,2022-01-17,1607.08,5.13,8244.32,0,ชำระแล้ว,ตลาดกลาง
SAL-000006,ORD-000004,CUS-0078,CRP-013,WH-003,2021-08-30,610.89,5.66,3457.64,0,ชำระแล้ว,ตลาดกลาง
SAL-000007,ORD-000004,CUS-0078,CRP-004,WH-006,2021-08-30,9234.37,13.93,128634.77,0,ชำระแล้ว,ตรงจากคลัง
SAL-000008,ORD-000004,CUS-0078,CRP-009,WH-014,2021-08-30,1609.06,45.47,73163.96,0,ชำระแล้ว,ออนไลน์
SAL-000009,ORD-000005,CUS-0106,CRP-010,WH-001,2021-10-07,1595.74,137.26,219031.27,0,บางส่วน,สัญญาซื้อขาย
SAL-000010,ORD-000005,CUS-0106,CRP-015,WH-008,2021-10-07,8750.74,10.81,94595.5,0,ชำระแล้ว,ตรงจากคลัง
SAL-000011,ORD-000006,CUS-0068,CRP-002,WH-006,2024-10-21,9884.04,14.14,139760.33,0,ชำระแล้ว,ออนไลน์
SAL-000012,ORD-000007,CUS-0152,CRP-008,WH-007,2023-09-22,2066.66,97.35,201189.35,2,ชำระแล้ว,ออนไลน์
SAL-000013,ORD-000007,CUS-0152,CRP-007,WH-010,2023-09-22,644.17,6.02,3877.9,0,บางส่วน,ตลาดกลาง
SAL-000014,ORD-000008,CUS-0068,CRP-013,WH-003,2022-10-19,2465.69,10.1,24903.47,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000015,ORD-000008,CUS-0068,CRP-006,WH-010,2022-10-19,481.93,83.36,40173.68,0,ชำระแล้ว,ตรงจากคลัง
SAL-000016,ORD-000009,CUS-0062,CRP-015,WH-013,2021-07-07,3493.41,7.2,25152.55,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000017,ORD-000009,CUS-0062,CRP-001,WH-008,2021-07-07,7095.95,15.13,107361.72,0,ค้างชำระ,สัญญาซื้อขาย
SAL-000018,ORD-000010,CUS-0145,CRP-014,WH-015,2022-10-16,6837.78,74.19,507294.9,0,ชำระแล้ว,ออนไลน์
SAL-000019,ORD-000010,CUS-0145,CRP-001,WH-011,2022-10-16,1405.26,15.93,22385.79,2,ชำระแล้ว,ตรงจากคลัง
SAL-000020,ORD-000010,CUS-0145,CRP-012,WH-010,2022-10-16,3284.62,1.22,4007.24,0,ชำระแล้ว,ออนไลน์
SAL-000021,ORD-000011,CUS-0046,CRP-003,WH-015,2023-12-02,116.01,23.55,2732.04,0,ชำระแล้ว,ตรงจากคลัง
SAL-000022,ORD-000011,CUS-0046,CRP-012,WH-003,2023-12-02,2947.67,1.42,4185.69,0,ค้างชำระ,ออนไลน์
SAL-000023,ORD-000011,CUS-0046,CRP-010,WH-014,2023-12-02,1648.43,90.2,148688.39,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000024,ORD-000012,CUS-0157,CRP-015,WH-005,2024-02-26,3616.55,8.2,29655.71,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000025,ORD-000012,CUS-0157,CRP-012,WH-007,2024-02-26,4649.35,1.92,8926.75,0,ชำระแล้ว,ออนไลน์
SAL-000026,ORD-000012,CUS-0157,CRP-009,WH-002,2024-02-26,1839.64,39.89,73383.24,0,บางส่วน,ตรงจากคลัง
SAL-000027,ORD-000013,CUS-0107,CRP-011,WH-009,2023-08-21,982.75,60.75,59702.06,0,ชำระแล้ว,ออนไลน์
SAL-000028,ORD-000013,CUS-0107,CRP-005,WH-013,2023-08-21,5407.47,3.95,21359.51,0,ชำระแล้ว,ออนไลน์
SAL-000029,ORD-000014,CUS-0186,CRP-013,WH-003,2024-03-09,2926.32,15.0,43894.8,0,ชำระแล้ว,ตลาดกลาง
SAL-000030,ORD-000014,CUS-0186,CRP-014,WH-004,2024-03-09,7397.96,139.65,1033125.11,0,ค้างชำระ,ตลาดกลาง
SAL-000031,ORD-000014,CUS-0186,CRP-008,WH-003,2024-03-09,1633.7,56.29,91960.97,0,ชำระแล้ว,ตรงจากคลัง
SAL-000032,ORD-000015,CUS-0106,CRP-004,WH-013,2022-11-05,1210.49,13.71,16595.82,2,ชำระแล้ว,สัญญาซื้อขาย
SAL-000033,ORD-000015,CUS-0106,CRP-005,WH-010,2022-11-05,4113.27,4.83,19867.09,0,ชำระแล้ว,ตลาดกลาง
SAL-000034,ORD-000016,CUS-0052,CRP-005,WH-014,2024-02-26,5622.38,4.24,23838.89,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000035,ORD-000016,CUS-0052,CRP-011,WH-014,2024-02-26,1873.2,71.87,134626.88,0,ค้างชำระ,ตรงจากคลัง
SAL-000036,ORD-000016,CUS-0052,CRP-008,WH-009,2024-02-26,1060.43,48.51,51441.46,0,ชำระแล้ว,ตรงจากคลัง
SAL-000037,ORD-000017,CUS-0092,CRP-013,WH-007,2023-12-10,2852.81,8.47,24163.3,5,ชำระแล้ว,สัญญาซื้อขาย
SAL-000038,ORD-000017,CUS-0092,CRP-002,WH-009,2023-12-10,3936.96,11.86,46692.35,0,ชำระแล้ว,ตลาดกลาง
SAL-000039,ORD-000017,CUS-0092,CRP-009,WH-001,2023-12-10,2941.56,36.13,106278.56,0,บางส่วน,สัญญาซื้อขาย
SAL-000040,ORD-000017,CUS-0092,CRP-011,WH-006,2023-12-10,797.34,81.66,65110.78,0,ชำระแล้ว,ตลาดกลาง
SAL-000041,ORD-000018,CUS-0110,CRP-015,WH-011,2022-01-14,8556.37,11.33,96943.67,0,ค้างชำระ,ตรงจากคลัง
SAL-000042,ORD-000018,CUS-0110,CRP-005,WH-003,2022-01-14,3039.05,4.62,14040.41,0,ชำระแล้ว,ออนไลน์
SAL-000043,ORD-000018,CUS-0110,CRP-006,WH-004,2022-01-14,1801.92,92.43,166551.47,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000044,ORD-000019,CUS-0041,CRP-014,WH-013,2022-12-10,2618.79,153.1,400936.75,0,ชำระแล้ว,ออนไลน์
SAL-000045,ORD-000019,CUS-0041,CRP-015,WH-007,2022-12-10,3638.24,8.97,32635.01,0,ชำระแล้ว,ออนไลน์
SAL-000046,ORD-000020,CUS-0054,CRP-015,WH-006,2021-03-29,1783.86,10.98,19586.78,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000047,ORD-000020,CUS-0054,CRP-014,WH-013,2021-03-29,7222.96,140.56,1015259.26,0,ชำระแล้ว,ออนไลน์
SAL-000048,ORD-000020,CUS-0054,CRP-007,WH-015,2021-03-29,938.39,6.8,6381.05,5,ชำระแล้ว,ออนไลน์
SAL-000049,ORD-000021,CUS-0036,CRP-005,WH-012,2025-12-11,4293.69,4.38,18806.36,0,ชำระแล้ว,ตรงจากคลัง
SAL-000050,ORD-000021,CUS-0036,CRP-009,WH-002,2025-12-11,1663.73,26.32,43789.37,0,ค้างชำระ,ออนไลน์
SAL-000051,ORD-000022,CUS-0066,CRP-007,WH-011,2024-04-08,1366.81,5.65,7722.48,0,ชำระแล้ว,ตลาดกลาง
SAL-000052,ORD-000022,CUS-0066,CRP-014,WH-014,2024-04-08,7735.23,127.82,988717.1,0,ค้างชำระ,ตรงจากคลัง
SAL-000053,ORD-000023,CUS-0068,CRP-006,WH-001,2022-09-15,427.83,81.59,34906.65,0,ค้างชำระ,ออนไลน์
SAL-000054,ORD-000023,CUS-0068,CRP-003,WH-003,2022-09-15,8616.62,25.73,221705.63,0,ชำระแล้ว,ตรงจากคลัง
SAL-000055,ORD-000024,CUS-0127,CRP-001,WH-007,2023-03-21,3199.31,11.46,36664.09,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000056,ORD-000024,CUS-0127,CRP-012,WH-006,2023-03-21,1188.49,1.67,1984.78,0,ชำระแล้ว,ตรงจากคลัง
SAL-000057,ORD-000024,CUS-0127,CRP-002,WH-009,2023-03-21,9608.92,12.39,119054.52,0,ชำระแล้ว,ตรงจากคลัง
SAL-000058,ORD-000025,CUS-0091,CRP-008,WH-014,2025-02-21,2618.75,76.91,201408.06,2,ค้างชำระ,สัญญาซื้อขาย
SAL-000059,ORD-000025,CUS-0091,CRP-014,WH-001,2025-02-21,203.37,111.76,22728.63,0,ชำระแล้ว,ตรงจากคลัง
SAL-000060,ORD-000025,CUS-0091,CRP-010,WH-014,2025-02-21,1517.25,107.01,162360.92,0,ชำระแล้ว,ตลาดกลาง
SAL-000061,ORD-000025,CUS-0091,CRP-015,WH-004,2025-02-21,7397.26,10.16,75156.16,5,ชำระแล้ว,ตรงจากคลัง
SAL-000062,ORD-000026,CUS-0168,CRP-009,WH-008,2025-07-03,2771.85,39.12,108434.77,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000063,ORD-000026,CUS-0168,CRP-013,WH-005,2025-07-03,1236.53,6.05,7481.01,0,ชำระแล้ว,ตลาดกลาง
SAL-000064,ORD-000026,CUS-0168,CRP-007,WH-006,2025-07-03,319.71,8.11,2592.85,0,ชำระแล้ว,ตลาดกลาง
SAL-000065,ORD-000027,CUS-0195,CRP-005,WH-013,2023-10-30,1933.55,3.38,6535.4,0,ชำระแล้ว,ตรงจากคลัง
